Columns retained, Pearson mean, Pearson std, MSE mean, MSE std
8.0, 0.5211802823510201, 0.04274330666758538, 0.8892518563455732, 0.022274580842363615
16.0, 0.5774125456523904, 0.03820751424980722, 0.8505939275935132, 0.02738897292889112
32.0, 0.6211019997829538, 0.030558569627524547, 0.7931211311898827, 0.029687640460068977
64.0, 0.6549428104480787, 0.023296171835839756, 0.7454298039563149, 0.029241139285025065
128.0, 0.6783382063104731, 0.016187177571222622, 0.6958683212999661, 0.031087021905505854
256.0, 0.6969344662701846, 0.01482532818026709, 0.6624209425823543, 0.022010994954539464
512.0, 0.6899932878451697, 0.017792660663898712, 0.6339847067260905, 0.02219425478184072
1024.0, 0.6858446697740932, 0.019461226826653875, 0.6195860507140711, 0.024562360864304796
2048.0, 0.6981455530694619, 0.016426013458549896, 0.5798437865003261, 0.024353079330838853
4096.0, 0.7182195238941697, 0.014958777891949465, 0.5439337573945503, 0.019618653149472188
8192.0, 0.7282645283386008, 0.01616142563169617, 0.52013833447096, 0.02354310202217973
